news,summary
"CAIRO (Reuters) - An Egyptian court on Saturday sentenced ousted president Mohammed Mursi of the Muslim Brotherhood to 25 years in prison in a final ruling over a case accusing him of spying for Qatar, judicial sources said. Mursi, democratically elected after Egypt s 2011 revolution, was overthrown in mid-2013 by then-general Abdel Fattah al-Sisi, now the president, following mass protests against his rule. He was immediately arrested. Egypt s Court of Cassation reduced Mursi s sentence in the Qatar case to 25 years in its final ruling, from an original 40 years.  Mursi is already serving a 20-year sentence after being convicted for the killing of protesters during demonstrations in 2012. Since toppling Mursi, Sisi has clamped down on dissent. Mass trials have been held for thousands of Muslim Brotherhood supporters, and hundreds have received death sentences or lengthy prison terms. In 2014, Egypt charged Mursi and nine others with endangering national security by leaking state secrets and sensitive documents to Qatar. Egypt s relations with Doha were already troubled by Qatar s backing of Mursi. Egypt is one of four Arab nations in a Saudi-led bloc that cut relations with the Gulf state on June 5, accusing it of backing militant groups and cooperating with their arch-foe Iran, allegations Doha denies. ",Egypt court sentences Mursi to 25 years in Qatar spy case
"HARARE (Reuters) - Two armoured personnel carriers were positioned on the outskirts of Zimbabwe s capital late on Tuesday and soldiers were directing traffic, a Reuters witness said, a day after the head of the army threatened to intervene in politics. The soldiers deployed on Harare Drive, a major thoroughfare, ordered passing cars to keep their windows up and not ask questions.  Don t try anything funny, just go,  one soldier said to a Reuters reporter. ","Soldiers, APCs seen on major road on outskirts of Zimbabwe capital: Reuters witness"
"WASHINGTON (Reuters) - U.S. President Donald Trump has told visitors that his Mar-a-Lago retreat is set up perfectly for foreign visits, but the Chinese side was initially hesitant when word came that Trump would like to meet Chinese President Xi Jinping there, according to administration officials. Even after seeing images of Japanese Prime Minister Shinzo Abe’s back-slapping sessions with Trump at Mar-a-Lago in February, Chinese officials thought the oceanfront, Spanish-style club in Palm Beach, Florida, lacked the symbolic significance of the White House itself. “They thought, no, it has to be the White House, the symbolism of that,” a senior administration official told Reuters. “They were ultimately convinced that this was worth doing. It’s unusual because most foreigners realize that being invited to the president’s personal place is a big deal.” Trump and Xi are to hold their first summit encounter beginning on Thursday at Mar-a-Lago, a property that original owner Marjorie Merriweather Post’s estate willed to the U.S. government for use as a diplomatic and presidential retreat after her death in 1973.     Chinese Foreign Ministry spokeswoman Hua Chunying told reporters in Beijing that the Chinese side was fine with having the meeting there. “President Trump, after taking office, announced that Mar-a-Lago would be the winter White House. The U.S. proposal to hold the U.S.-China heads of state meeting there, I think, represents the importance that the U.S. side places on this meeting. China respects the U.S. side’s arrangements,” she said. No matter where the heads of state meet, “the most important thing is to develop China-U.S. relations and make contributions to both countries and the world,” she said. Topping the agenda at Mar-a-Lago will be U.S.-China trade ties and U.S. requests for China to help rein in its nuclear-armed neighbor North Korea.  Trump bought the estate in 1985 and turned it into an exclusive club, which now boasts a membership fee of $200,000 and is a haven for the tony Palm Beach set who pull up to the gate in Bentleys and Rolls-Royces.             “It’s a place where he feels comfortable and at home, and where he can break the ice with Xi Jinping without the formality, really, of a Washington meet-up,” said another senior White House official. Xi and his wife, Peng Liyuan, will join Trump and his wife, Melania, for dinner on Thursday night then Trump and Xi will have a series of meetings there on Friday. The entire visit will last less than 24 hours. “What matters is that the two of them get together for a successful summit, even if it’s on the moon,” said former U.S. ambassador to China, Max Baucus.  “However, I do think that Mar-a-lago will probably help enhance conversation between the two of them. President Trump can show President Xi around, show him the digs. Trump is very proud of that, and President Xi will be interested in seeing all of that.”     The two leaders are not expected to make public appearances but there are likely to be occasions for a pool of the news media to see them. No joint news conference was expected.  Past U.S. presidents have often turned to settings away from the trappings of Washington to conduct delicate diplomacy. George H.W. Bush had his seaside estate in Kennebunkport, Maine, and George W. Bush frequently played host to foreign leaders at his ranch in Crawford, Texas. Trump’s immediate predecessor, Barack Obama, used the Sunnylands retreat in Rancho Mirage, California, as a site for an informal summit with Xi in 2013. While Trump treated Abe to golf, no such outing is planned for the leader of China.  Mar-a-Lago has already been the scene of some controversy for Trump. When a North Korean missile test disrupted Abe’s visit there, Trump and the Japanese leader were seen at a dinner table on the terrace discussing how to respond, as club members looked on from nearby tables.  ","For Trump, Mar-a-Lago is place to break the ice with China's Xi"
"WASHINGTON (Reuters) - A secret meeting at a neighbor’s house, a drive through a back country road, and a clandestine flight on a military jet marked Judge Neil Gorsuch’s journey to the White House this week after U.S. President Donald Trump chose him as his Supreme Court nominee. Trump, who took office on January 20, called Gorsuch on Monday to inform him that he had prevailed among a handful of finalists to succeed deceased Justice Antonin Scalia on the high court. That decision set off a rapid and secretive process to get Gorsuch to Washington without alerting journalists and other Supreme Court watchers of the president’s selection. After Trump called the Colorado-based judge, a team from the White House counsel’s office flew to Denver and then drove to Boulder, roughly 45 minutes away, to meet with Gorsuch and his family. They met at a neighbor’s house to avoid detection.  Then the White House staff spirited him though a “back farm road” to a waiting military plane to transport him to Washington, White House spokesman Sean Spicer told reporters on Tuesday night in the White House East Room. Gorsuch stayed at a friend’s residence before being brought to the White House for the Tuesday evening announcement. The secrecy continued up until the last minute. When Trump, a former reality television star, entered the East Room, he came alone, addressing the cameras and the waiting crowd, which included Scalia’s widow, at a podium before calling on Gorsuch and his wife to come in. Trump’s decision came after he narrowed a list of 21 candidates down to six, including Thomas Hardiman, William Pryor, Amul Thapar, Diane Sykes, and Don Willett. Then President-elect Trump interviewed Gorsuch, Hardiman and Pryor on Jan. 14 in his New York residence. He also interviewed Thapar. “He finalized the decision recently,” after considering all 21 candidates “very deeply,” said Kellyanne Conway, a senior adviser and counselor to the president. White House counsel Don McGahn informed Hardiman, Pryor and Thapar that they had not been chosen, Spicer said.  The White House was determined to keep the president’s Supreme Court selection a secret and make the announcement of his choice a success after the botched rollout of his refugee executive order contributed to confusion and worldwide criticism last weekend. The strategy to get Gorsuch confirmed will kick off right away, Spicer said, with former Senator Kelly Ayotte serving as the “sherpa” to help steer the nominee through the Senate confirmation process. ","Back road drive, secret flight brought Trump's court pick to Washington"
"MOSCOW (Reuters) - Russian President Vladimir Putin said on Thursday he had all grounds to believe that Moscow, along with Damascus, would soon defeat terrorists in Syria. He said that the Syrian peace process was developing in a positive way, though there were still problems. He said there was a proposal to hold a Congress of Syrian peoples, bringing together representatives of all ethnic groups in Syria. ",Russia's Putin says defeat of terror in Syria imminent
"GENEVA (Reuters) - A European and African deal to stem the flow of migrants coming through Libya to Europe fails to tackle the abuses they face, the top U.N. human rights official wrote on Friday.  The 28-nation European Union has long struggled to reach a coherent answer to the influx of migrants fleeing war, poverty and political upheaval in the Middle East and Africa, and the crisis is testing cooperation between member states. On Aug. 28, the leaders of France, Germany, Italy, Spain, Chad, Niger and Libya agreed a plan to tackle illegal human trafficking and support nations struggling to contain the flow of people across the desert and Mediterranean sea.  U.N. High Commissioner for Human Rights Zeid Ra ad al-Hussein said it was significant that the agreement they struck in Paris recognized that a comprehensive response was needed.   But it is very thin on the protection of the human rights of migrants inside Libya and on the boats, and silent on the urgent need for alternatives to the arbitrary detention of vulnerable people,  he wrote in an article published by the United Nations. Zeid s office published a report last December on abuses faced by migrants in detention centres in Libya,  but memories are short when facts are inconvenient , he wrote. Since then the situation had worsened, with far too many allegations to verify and reports of bodies  in the desert, in the forest, on the beaches . Libya s morgues were overflowing, he said.  Apart from the families awaiting word from missing relatives, hardly anybody seemed to care, Zeid wrote.  The EU faces a moral and legal dilemma because it relies on cooperation with Libyan coastguards and plays down their abuses, which include shooting at aid workers trying to rescue migrants, Zeid said.  A coastguard that sometimes rescues migrants in distress   but sometimes chooses not to. Like the militias onshore, coastguards also sometimes beat, rob and even shoot the migrants they intercept,  he said. Zeid said he agreed with a letter to European leaders from Joanne Liu, the head of Medecins Sans Frontieres, a charity that has sent aid workers to rescue migrants.  The letter, entitled  European governments are feeding the business of suffering , asked:  Is allowing people to be pushed into rape, torture and slavery via criminal pay-offs a price European governments are willing to pay?   I fully support her analysis, and share her disgust at this situation,  Zeid wrote. ",U.N. rights chief says EU deal on Libya migrants falls short
"MILWAUKEE (Reuters) - Republican presidential front-runner Donald Trump predicted that the United States is on course for a “very massive recession,” warning that a combination of high unemployment and an overvalued stock market had set the stage for another economic slump. “I think we’re sitting on an economic bubble. A financial bubble,” the billionaire businessman said in an interview with The Washington Post published on Saturday.  Coming off a tough week on the campaign trail in which he made a series of missteps, Trump’s latest comments bring him back into the limelight ahead of Tuesday’s important primary in Wisconsin where he trails in the polls. The former reality TV star said that the real U.S. jobless figure is much higher than five percent number released by the U.S. Bureau of Labor Statistics.  “We’re not at 5 percent unemployment,” Trump said. “We’re at a number that’s probably into the twenties if you look at the real number,” he said, adding that the official jobless figure is “statistically devised to make politicians — and in particular presidents — look good.”     Trump said “it’s a terrible time right now” to invest in the stock market, offering a more bleak view of the U.S. economy than that held by many mainstream economists. The interview was bylined by the Post’s Robert Costa and famed Watergate reporter Bob Woodward.  A real estate magnate, Trump has made appealing to blue-collar workers a hallmark of his bid for the Republican nomination for the Nov. 8 presidential election, often blaming unemployment on the outsourcing of U.S. jobs and facilities to countries such as China and Mexico. Trump vowed in the interview to wipe out the more than $19 trillion national debt “over a period of eight years,” helped by a renegotiation of trade deals. “I’m renegotiating all of our deals, the big trade deals that we’re doing so badly on,” he said. After making controversial statements about abortion last week, Trump has shown little sign of heeding calls from fellow Republicans to adopt a more presidential tone so as to avoid alienating voters in the November general election if he wins the nomination. On Saturday, he questioned close U. S. ties to Saudi Arabia and again accused U.S. allies of not pulling their weight in the NATO military alliance.  Trump told a campaign rally in Racine, Wisconsin that partners in the North Atlantic Treaty Organization “are not paying their fair share” and called the 28-nation alliance “obsolete.” “Either they pay up, including for past deficiencies, or they have to get out. And if it breaks up NATO, it breaks up NATO,” Trump said. Tuesday’s Wisconsin nominating contest could be a turning point in the Republican race. Trump, 69, trails his leading rival, U.S. Senator Ted Cruz, 45, of Texas in the state. A Cruz win would make it harder for Trump to reach the number of 1,237 delegates needed to secure the nomination before the Republican national convention in July. The winner will get to claim all of Wisconsin’s 42 delegates. ",Trump predicts 'very massive recession' in U.S. 
"JUBA (Reuters) - A South Sudanese rebel group on Friday accused government troops of attacking their base only a day after the parties signed a ceasefire in a four-year war that has killed tens of thousands of people.  The ceasefire, that would allow humanitarian groups access to civilians caught in the fighting, formally comes into force on Sunday morning.  On Friday afternoon, a spokesman for the SPLA-IO rebel group said army forces had attacked a rebel base in Deim Jalab, in the western part of the country. Lam Paul Gabriel said two rebels and five government troops were killed in the fighting. The army spokesman in the capital, Juba, did not immediately respond to a request for comment. The war that began in late 2013 in the world s youngest nation has forced a third of the population to flee their homes. The United Nations describes the violence as ethnic cleansing.  Earlier this year, pockets of the country plunged briefly into famine. The latest round of talks in the Ethiopian capital,  convened by the East African bloc IGAD, brought the warring sides back to the negotiating table after a 2015 peace deal collapsed last year during heavy fighting in Juba. After the new agreement was signed on Thursday, South Sudan s Information Minister Michael Makuei Leuth told journalists:  The cessation of hostilities will be effective 72 hours from now. As of now, we will send messages to all the commands in the field to abide by this cessation of hostilities.   From now onwards, there will be no more fighting,  he added.  Just talks.  The German foreign ministry welcomed the agreement as an important step toward bringing peace to South Sudan.  We call on all participating parties to implement the agreement in a comprehensive and sustainable manner, and to ensure that humanitarian organizations are not hindered in doing their work,  a ministry spokeswoman said. ",South Sudan rebels say army attacked them after signing ceasefire
"HARARE (Reuters) - Zimbabwe s ruling ZANU-PF party has given Robert Mugabe until noon (5.00 a.m. ET) on Monday to step down as President or face impeachment, cyber security minister Patrick Chinamasa said on Sunday. He was speaking at a televised news conference after a special party meeting at which Mugabe was sacked as ZANU-PF leader. ",Mugabe given until noon Monday to quit as Zimbabwe President
"SYDNEY (Reuters) - Australia will extend its Pacific Islands migrant labor program and fly aerial surveillance missions to protect valuable Pacific fisheries, Prime Minister Malcolm Turnbull said at the Pacific Island Leaders Forum. The meeting, held in Apia, Samoa, brought 17 Pacific Island nations plus Australia and New Zealand to the negotiating table. The new agreement helps tiny low-income Pacific Island nations by giving them access to Australia s large and developed economy, with migrant workers repatriating funds via overseas remittances. The per capita gross national incomes of 11 countries in the region range from $1,540 for the Solomon Islands to $13,496 for Palau, according to World Bank figures, while Australian workers earn an average yearly salary of more than $64,000. Australia s population of 24 million people is highly urbanized, leading to labor shortages in rural areas. Prime Minister Malcolm Turnbull signed an agreement on Friday to allow 2,000 Islanders to work in rural areas over the next three years, adding to an existing seasonal worker program which supplies agricultural labor. The micro-nations of Kiribati, Nauru and Tuvalu will have first access to the scheme, which will allow workers to engage in non-farm work such as care of the elderly. The World Bank said it was in Australia s interests to encourage stability.  Aid dependency in the region is high, and reliance on aid alone is an unbalanced strategy. By improving employment prospects and increasing remittance flows, labor mobility helps stabilize otherwise fragile states,  it said in a new report, Pacific Possible, released at the forum. The report said the Pacific region had the potential to create more than 500,000 new jobs and increase incomes by more than 40 percent by 2040, if they focused on developing key areas such as tourism and fisheries.  The western and central Pacific Ocean covers about 8 percent of the world s ocean mass and contains the last healthy tuna stocks, supplying 60 percent of the world s tuna, the report said. Australia has agreed to fund aerial surveillance for Pacific Island member states to combat illegal fishing, with the planes to be in the air by the end of this year. ","Australia to allow more Pacific Islands workers, patrol fisheries"
"ROME (Reuters) - Italy seized more than 24 million tablets of a synthetic opiate that Islamic State militants planned to sell to finance attacks around the world, the head of a southern Italian court said on Friday. The pills were seized by finance police and customs officials in the container port of Gioia Tauro, Italy s biggest, according to a statement. The U.S. Drug Enforcement Administration collaborated in the investigation.  A video shows police opening a container filled with boxes of Tramadol, a powerful painkiller normally available only on prescription.  With an average sale price of about 2 euros ($2.33) per tablet, the haul was worth 50 million euros, the statement said. Foreign investigators told the court in the city of Reggio Calabria that the drugs belonged to Islamic State. The drugs sales were  managed directly by Islamic State to finance the terrorist activities planned and carried out around the world , Reggio Calabria s chief prosecutor Federico Cafiero De Raho said.   Part of the illegal profit from their sale would have been used to finance extremist groups in Libya, Syria and Iraq,  he said. The seizure comes three days after an Uzbek immigrant, Sayfullo Saipov, drove a truck on a New York City bike path, killing eight, in the latest attack claimed by Islamic State. No details on how the illegal shipment was discovered or on its final destination were provided by the court. A similar shipment was discovered in Greece last year, and an even larger one was found in Italy s Genoa port in May. ",Italy says seizes opiates meant to finance Islamic State
"NEWPORT NEWS, Va. (Reuters) - President Donald Trump told reporters on Thursday he has “total” confidence in Attorney General Jeff Sessions amid a controversy over Sessions’ meetings with a Russian diplomat last year. Trump made the comment while preparing to deliver a speech about his proposed defense buildup aboard the Gerald R. Ford aircraft carrier. ",Trump says has 'total confidence' in Attorney General Sessions
"OTTAWA (Reuters) - Canadian Prime Minister Justin Trudeau said he spoke with U.S. President Donald Trump on Friday about the air strikes on Syria, adding that Canada had been informed about the strikes about an hour before they occurred on Thursday.  “Last night the United States Secretary of Defence briefed Canada’s Minister of Defence in advance of the American military strike in Syria. The Minister of Defence then immediately briefed me. This morning, I spoke with the President directly and emphasized that Canada agrees that Assad’s repeated use of chemical weapons must not continue,” Trudeau told parliament. Trudeau did not indicate what Trump said to him during the phone call. ",Canada's Trudeau says spoke with Trump about Syria air strikes
"NAIROBI (Reuters) - Kenya s Supreme Court on Wednesday criticized the election board for failing to verify official results of last month s presidential election before announcing them, but did not find any individual at the board responsible for the failings. The court was offering a detailed ruling as to why it annulled the Aug. 8 election and ordered a fresh presidential vote within 60 days. The Sept. 1 decision was the first of its kind in Africa. The election board had said incumbent President Uhuru Kenyatta won the contest by 1.4 million votes, but opposition leader Raila Odinga challenged the result in the Supreme Court. He says the previous two elections were also stolen from him. Kenya is a key Western ally in a region often shaken by violence. Its status as a diplomatic, trade and security hub for East Africa means the court s ruling and preparation for the fresh election, now scheduled for Oct. 17, are being closely watched for signs of instability or violence. On Monday, the French technology company supporting the election said it would be nearly impossible to be ready for that date. The court s Sept. 1 ruling identified some procedural problems, but the key finding against the election board on Wednesday was that officials had announced results before being able to verify them. Kenya used two parallel systems: a quick electronic tally vulnerable to typos and a slower paper system designed as a verifiable, definitive back-up. The official results were based on the electronic tally before the paper results were fully collated, the judges said.  The system was designed that way after a disputed 2007 presidential vote sparked violence that killed around 1,200 people and displaced some 600,000 more.  If elections are not seen to be free and fair, they can trigger instability. We do not need to look far for examples,  said Chief Justice David Maraga. The board overseeing the 2017 vote did not have all the tally forms when it announced results, and some forms lacked security features like water marks, signatures or serial numbers, which calls their authenticity into question, the court said, adding there was no evidence of individual wrongdoing.  Though the petitioner claimed various offences were committed by the issues of the first respondent, that is the IEBC (elections board), no evidence was placed before us to prove that allegation,  Maraga said.  We are therefore unable to impute any criminal intent or culpability.   Odinga has said he will not take part in the repeat election if several demands, including the sacking of senior staff at the election board, are not met.  Judge Philomena Mwilu said the forms should have been quickly available for inspection, noting officials said thousands of forms from polling stations were still unavailable four days after the official results were announced.   The (board) cannot therefore be said to have verified the results,  she said.  It is an inexcusable contravention ... of the election act.  She also censured the board s refusal to comply with court orders to open its computer servers, saying it meant that opposition claims of hacking or manipulation might be true.     Noncompliance or failure by the board to do as ordered must be held against it,  she said. But although the tallying process was questioned, voter registration, identification and voting all appeared to have been  conducted in accordance with the law,  she said.  Opposition claims against Kenyatta were largely dismissed. Maraga said the opposition had failed to show evidence Kenyatta had campaigned using state resources or undue influence.  Two judges read lengthy dissenting opinions and accused their four colleagues who issued the majority judgment of misinterpreting the law and other failings, including not paying attention to the evidence and judicial limits.  As judges spoke, police used tear gas to disperse groups of rival political supporters holding demonstrations outside the Supreme Court.  The election re-run has divided Kenya, with many opposition supporters celebrating it and the president and some members of the ruling party criticizing it harshly.  After the majority decision was read, Deputy President William Rut tweeted:  Evidently a supreme coup on sovereign Will of the people was executed on basis of technicalities against their verdict captured in ballots.  On Tuesday, the chief justice told a news conference that judges were getting threats and the police were not offering adequate protection, an allegation that the chief of police denied. ",Kenya Supreme Court criticizes election board in verdict on polls
"MOSCOW (Reuters) - Moscow expects new complications in its relationship with the United States in early 2018 because of possible new U.S. sanctions on Russia, the RIA news agency cited Russian Deputy Foreign Minister Sergei Ryabkov as saying on Tuesday.  Ryabkov said Washington could resort to new  destructive impulses  ahead of next year s Russian presidential election, RIA reported. ",Russia expects new sanctions to further sour its ties with U.S. in 2018: RIA
"MEXICO CITY (Reuters) - The fourth round of talks to renegotiate the North American Free Trade agreement have been prolonged until Oct. 17, two sources in Mexico said on Tuesday, as negotiators gathering in Washington were expected to start tackling difficult issues. The round of talks due to begin on Wednesday is expected to include discussions about including quotas for U.S. content in autos, a major bone of contention for Mexico, Canada and many companies. Previously, the talks were due to end on Oct. 15. The news was first reported by Bloomberg earlier on Tuesday. ",NAFTA negotiation round extended by two days: Mexico sources
"GENEVA (Reuters) - The European Union s support for the Libyan coast guard is leading to the arbitrary and indefinite imprisonment of migrants in  inhuman  conditions, the U.N. human rights chief said on Tuesday. The EU anti-trafficking mission Sophia has helped train Tripoli s coast guard, while Italy has supplied it with four patrol boats. Italy also has sent millions of euros and a navy repair ship to fix Libya s marine fleet. So far in 2017, the Libyans have intercepted almost 20,000 migrants at sea, according to the International Organization for Migration. After being taken from the boats, they are brought to land and put in  detention centers  that were visited by United Nations personnel.  Monitors were shocked by what they witnessed,  High Commissioner on Human Rights Zeid Ra ad Al Hussein said in a statement.  They saw  thousands of emaciated and traumatized men, women and children piled on top of each other, locked up in hangars with no access to the most basic necessities, and stripped of their human dignity,  he said.  Some 20,000 people are now being held in facilities controlled by Tripoli s migration department, up from 7,000 in September, the U.N. said in a statement. While U.N. agencies and other humanitarian groups have access to them and seek to provide health care and some food, Zeid said it was not enough because  the EU and its member states have done nothing so far to reduce the level of abuses suffered by migrants .  Just a day ago, European and African ministers repeated a pledge to try to improve conditions for migrants in Libya, and on Saturday Italian Prime Minister Paolo Gentiloni hailed Italian immigration policy.  Italy is the only country in Europe with a decent migration policy,  Gentiloni said.  We re proud because we don t build walls or close ports.  But it was Italy that struck a deal with the U.N.-backed Tripoli in February, which was endorsed by the whole of the EU, aimed at blocking migrants in Libya, much as the EU deal with Turkey did last year.   That agreement, combined with the support for the Libyan coast guard, has brought migrant sea arrivals down dramatically in recent months. This year there have been 115,000 sea arrivals in Italy, down 31 percent from last year, official data from Italy s Interior Ministry show. In October alone arrivals dropped by 76 percent from a year earlier.  ",EU support of Libyan coast guard 'inhuman': U.N. rights chief
"PARIS (Reuters) - France is considering whether to host a meeting of the  International Lebanon Support Group to discuss the political crisis in the country, a French presidential source said on Saturday.  The source said there was no decision yet on whether it would take place or whether it would be a ministerial meeting.  The group includes Britain, China, France, Russia and the United States - the five permanent members of the United Nations Security Council.    (This story has been refiled to remove reference to Germany in third paragraph.) ",France ready to host international meeting on Lebanon if needed
"WASHINGTON (Reuters) - President Donald Trump is sending his son-in-law Jared Kushner and negotiator Jason Greenblatt to the Middle East soon to meet regional leaders and discuss a “path to substantive Israeli-Palestinian peace talks,” a White House official said on Friday. Deputy national security adviser Dina Powell will also be on  the trip, which will include meetings with leaders from Saudi Arabia, the United Arab Emirates, Qatar, Jordan, Egypt, Israel and the Palestinian Authority, the official said. “While the regional talks will play an important role, the president reaffirms that peace between Israelis and Palestinians can only be negotiated directly between the two parties and that the United States will continue working closely with the parties to make progress towards that goal,” the official said. Kushner, who serves as a senior adviser to his father-in-law, was charged with helping to broker a deal between Israelis and Palestinians after Trump took office. The president went to Saudi Arabia and Israel during his first post-inauguration trip abroad and has expressed a personal commitment to reaching a deal that has eluded his Republican and Democratic predecessors. The timing of the trip was pegged to the recent “restoration of calm and the stabilized situation in Jerusalem” after a spate of violence last month sparked by Israel’s installation of metal detectors at entry points to the Noble Sanctuary or Temple Mount compound there. Trump directed that the talks focus on a pathway to peace talks, fighting “extremism,” easing the humanitarian crisis in Gaza, and identifying economic steps that can be taken to ensure security and stability, the official said. “To enhance the chances for peace, all parties need to engage in creating an environment conducive to peace-making while affording the negotiators and facilitators the time and space they need to reach a deal,” the official said. ",Trump will send envoys to Middle East to discuss peace: official
"SEOUL (Reuters) - At least four defectors from North Korea have shown signs of radiation exposure, the South Korean government said on Wednesday, although researchers could not confirm if they were was related to Pyongyang s nuclear weapons program. The four are among 30 former residents of Kilju county, an area in North Korea that includes the nuclear test site Punggye-ri, who have been examined by the South Korean government since October, a month after the North conducted its sixth and most powerful nuclear test, Unification Ministry spokesman Baik Tae-hyun told a news briefing.  They were exposed to radiation between May 2009 and January 2013, and all defected to the South before the most recent test, a researcher at the Korea Atomic Energy Research Institute, which carried out the examinations, told reporters. North Korea has conducted six nuclear bomb tests since 2006, all in tunnels deep beneath the mountains of Punggye-ri, in defiance of U.N. Security Council resolutions and international condemnation. The researcher cautioned that there were a number of ways people may be exposed to radiation, and that none of the defectors who lived had lived in Punggye-ri itself showed specific symptoms. A series of small earthquakes in the wake of the last test - which the North claimed to be of a hydrogen bomb - prompted suspicions that it may have damaged the mountainous location in the northwest tip of the country. Experts warned that further tests in the area could risk radioactive pollution. After the Sept. 3 nuclear test, China s Nuclear Safety Administration said it had begun emergency monitoring for radiation along its border with North Korea. And in early December, a state-run newspaper in China s Jilin province, which borders North Korea and Russia, published a page of  common sense  advice on how readers can protect themselves from a nuclear weapons attack or explosion. Cartoon illustrations of ways to dispel radioactive contamination were also provided, such as using water to wash off shoes and using cotton buds to clean ears, as well as a picture of a vomiting child to show how medical help can be sought to speed the expulsion of radiation through stomach pumping and induced urination. ","North Korean defectors may have been exposed to radiation, says South"
BEIRUT (Reuters) - Hezbollah leader Sayyed Hassan Nasrallah said on Friday an Israeli war with Lebanon was unlikely and warned Israel against exploiting the current political crisis in Lebanon.     Lebanese Prime Minister Saad al-Hariri resigned in a speech from Saudi Arabia on Saturday and has yet to return to Lebanon. In a televised address Nasrallah said he believes Hariri is being detained in Riyadh.   ,Hezbollah leader says Israeli war with Lebanon unlikely
"LONDON (Reuters) - A woman at London s Parsons Green underground train station told Reuters on Friday she was injured in a stampede.  Armed police were at the scene, a Reuters photographer said.  A blast on an underground train at Parsons Green left some passengers with facial burns at the station, London s Metro newspaper reported on its website. ",Witness says injured in stampede at London station: Reuters reporter
"BEIJING (Reuters) - The United States said on Saturday it was directly communicating with North Korea on its nuclear and missile programs but Pyongyang had shown no interest in dialogue. The disclosure by U.S. Secretary of State Rex Tillerson during a trip to China represented the first time he has spoken to such an extent about U.S. outreach to North Korea over its pursuit of a nuclear-tipped intercontinental ballistic missile. “We are probing so stay tuned,” Tillerson told a group of reporters in Beijing.  “We ask: ‘Would you like to talk?’ We have lines of communications to Pyongyang. We’re not in a dark situation, a blackout.”  He said that communication was happening directly and cited two or three U.S. channels open to Pyongyang. “We can talk to them. We do talk to them,” he said, without elaborating about which Americans were involved in those contacts or how frequent or substantive they were. The goal of any initial dialogue would be simple: finding out directly from North Korea what it wants to discuss. “We haven’t even gotten that far yet,” he said. Trying to tamp down expectations, the State Department said later there were no signs Pyongyang was interested in talks. “North Korean officials have shown no indication that they are interested in or are ready for talks regarding denuclearization,” department spokeswoman Heather Nauert said in a statement.  Tillerson previously had offered little detail about U.S. outreach. On Sept. 20, he acknowledged only “very, very limited” contact with Pyongyang’s U.N. envoy. When asked about Tillerson’s assertion and what communication there might be between Pyongyang and Washington, a spokesman for the North Korean mission to the United Nations said he “can’t go further into detail.” Tillerson’s remarks followed a day of meetings in Beijing, which has been alarmed by recent exchanges of war-like threats and personal insults between North Korean leader Kim Jong Un and U.S. President Donald Trump. “I think the whole situation’s a bit overheated right now,” Tillerson said. “I think everyone would like for it to calm down. “Obviously it would help if North Korea would stop firing off missiles. That’d calm things down a lot.” South Korean officials have voiced concerns that North Korea could conduct more provocative acts near the anniversary of the founding of its communist party on Oct. 10, or possibly when China holds its Communist Party Congress on Oct. 18. North Korea is fast advancing toward its goal of developing a nuclear-tipped missile capable of hitting the U.S. mainland. It conducted its sixth and largest nuclear test on Sept. 3 and has threatened to test a hydrogen bomb over the Pacific.   U.S. officials including Tillerson say Beijing, after long accounting for some 90 percent of North Korea’s foreign trade, appears increasingly willing to cut ties to its neighbor’s economy by adopting U.N. sanctions. Tillerson said China’s more assertive posture was due to its realization that North Korea’s nuclear and missile capabilities had advanced too far. “I think they also have a sense that we’re beginning to run out of time and that we really have to change the dynamic,” Tillerson said. The goal of the sanctions would be getting North Korea’s Kim to view nuclear weapons as a liability, not a strength.  Still, the U.S. intelligence community does not believe Kim is likely to give up his weapons program willingly, regardless of sanctions.  “(Tillerson’s) working against the unified view of our intelligence agencies, which say there’s no amount of pressure that can be put on them to stop,” Senator Bob Corker told a hearing at the chamber on Thursday. Kim sees nuclear-tipped intercontinental ballistic missiles as “his ticket to survival,” Corker said. Tillerson agreed that Kim’s nuclear and missile programs were aimed at ensuring his own security, and renewed assurances that the United States did not seek to topple Kim’s government. “Look, our objective is denuclearization (of North Korea),” he said. “Our objective is not to get rid of you. Our objective is not to collapse your regime.” It is unclear how and when any actual negotiations with Pyongyang might be possible.   White House national security adviser H.R. McMaster said on Monday there were no set preconditions for talks. He added, however, that Pyongyang’s capabilities were too far advanced to simply freeze its program in return for concessions. He also dismissed the idea of negotiating with Pyongyang even as it continued to develop its nuclear weapons program. Tillerson in March suggested the United States would only engage North Korea in negotiations once it gave up nuclear weapons.  But he acknowledged on Saturday that denuclearization would be an “incremental process.” “You’d be foolish to think you’re going to sit down and say: OK, done. Nuclear weapons, gone. This is going to be a process of engagement with North Korea,” he said. Trump, who is due to visit China in November, has called for it to do more regarding North Korea and has promised to take steps to rebalance a trade relationship that his administration says puts U.S. businesses at a disadvantage. Chinese President Xi Jinping did not mention North Korea in his opening remarks while meeting Tillerson on Saturday. He instead offered warm words about Trump, saying he expected the U.S. president’s visit to be “wonderful.”  “The two of us have also maintained a good working relationship and personal friendship,” Xi said in comments in front of reporters. ","U.S. directly communicating with North Korea, seeks dialogue"
